source,index,true_label,pred_label,record1,record2
TP,9480,1,1,COL clean_supplier_name VAL TEKNION COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL TEKNION COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
TP,8907,1,1,COL clean_supplier_name VAL THERMO FISHER SCIENTIFIC COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL THERMO FISHER SCIENTIFIC MISSISSAUGA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
TP,2963,1,1,COL clean_supplier_name VAL XEROX CANADA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL ,COL clean_supplier_name VAL XEROX CANADA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
TP,5960,1,1,COL clean_supplier_name VAL DONNA CONA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL DONNA CONA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
TP,6003,1,1,COL clean_supplier_name VAL RAMPART INTERNATIONAL COL address VAL 2574 Sheffield Road COL city VAL Ottawa COL prov VAL Ontario COL postal VAL K1B3V7 COL country VAL Canada,COL clean_supplier_name VAL RAMPART INTERNATIONAL COL address VAL  COL city VAL  COL prov VAL  COL postal VAL K1B COL country VAL CA
TP,9191,1,1,COL clean_supplier_name VAL RANDSTAD INTERIM COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL RANDSTAD INTERIM COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
TP,5711,1,1,COL clean_supplier_name VAL TEKNION COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL TEKNION COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
TP,1291,1,1,COL clean_supplier_name VAL MESSA COMPUTING COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL ,COL clean_supplier_name VAL MESSA COMPUTING COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
TP,9094,1,1,COL clean_supplier_name VAL SUTHERLAND EXCAVATING COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL SUTHERLAND EXCAVATING COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
TP,6847,1,1,COL clean_supplier_name VAL SUTHERLAND EXCAVATING COL address VAL  COL city VAL  COL prov VAL  COL postal VAL E1V COL country VAL CA,COL clean_supplier_name VAL SUTHERLAND EXCAVATING COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
TP,2457,1,1,COL clean_supplier_name VAL TERVITA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL TERVITA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
TN,948,0,0,COL clean_supplier_name VAL MEDIAQ COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL ,COL clean_supplier_name VAL NEWSWATCH COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
TN,3866,0,0,COL clean_supplier_name VAL HELITRADES COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL BARRYS BULLDOZING COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
TN,1855,0,0,COL clean_supplier_name VAL AEG COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL MICHAEL BETZNER COL address VAL  COL city VAL  COL prov VAL  COL postal VAL T3B COL country VAL CA
TN,8686,0,0,COL clean_supplier_name VAL GREG DISCH COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL ,COL clean_supplier_name VAL JD POWER ASSOCIATES COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
TN,1614,0,0,COL clean_supplier_name VAL NAUTIC ART COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL DISTINCTIVE TOUCH PAINTING COL address VAL  COL city VAL  COL prov VAL  COL postal VAL K4A COL country VAL CA
TN,9486,0,0,COL clean_supplier_name VAL SIEMENS CANADA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL ,COL clean_supplier_name VAL SIEMENS HEALTHCARE COL address VAL  COL city VAL  COL prov VAL  COL postal VAL L6H COL country VAL CA
TN,9752,0,0,COL clean_supplier_name VAL MAXSYS STAFFING CONSULTING COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL SPIRIT STAFFING CONSULTING COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
TN,9390,0,0,COL clean_supplier_name VAL SIEMENS CANADA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL ,COL clean_supplier_name VAL SIEMENS HEALTHCARE COL address VAL  COL city VAL  COL prov VAL  COL postal VAL L6H COL country VAL CA
TN,7784,0,0,COL clean_supplier_name VAL MCL COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL BARRYS BULLDOZING COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
TN,2244,0,0,COL clean_supplier_name VAL 152610 CANADA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL 4577 NUNAVUT COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
TN,836,0,0,COL clean_supplier_name VAL NOVATEM COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL UAVIONIX COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL US
TN,7826,0,0,COL clean_supplier_name VAL SLR CONSULTING CANADA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL SHM CANADA CONSULTING COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
TN,4423,0,0,COL clean_supplier_name VAL 49 SOLUTIONS COL address VAL  COL city VAL  COL prov VAL  COL postal VAL K1Y COL country VAL CA,COL clean_supplier_name VAL BASIC SOLUTIONS NORTH AMERICAN COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
TN,4837,0,0,COL clean_supplier_name VAL HH CONSTRUCTION COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL GRANDCALUMET CONSTRUCTION COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
TN,4976,0,0,COL clean_supplier_name VAL S HUOT COL address VAL  COL city VAL  COL prov VAL  COL postal VAL G1N COL country VAL CA,COL clean_supplier_name VAL WOLTERS KLUWER COL address VAL  COL city VAL  COL prov VAL  COL postal VAL M2N COL country VAL CA
TN,3883,0,0,COL clean_supplier_name VAL SUNCOR ENERGY COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL CANADIAN RENEWABLE ENERGY ASSOCIATI COL address VAL  COL city VAL  COL prov VAL  COL postal VAL K2T COL country VAL CA
TN,7874,0,0,COL clean_supplier_name VAL TECSULT COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL ,COL clean_supplier_name VAL TERVITA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
TN,9328,0,0,COL clean_supplier_name VAL TEKNION COL address VAL 1150 Flint Rd COL city VAL Downsview COL prov VAL Ontario COL postal VAL M3J2J5 COL country VAL Canada,COL clean_supplier_name VAL AUTOMATED LOGIC CANADA COL address VAL 95 Denzil Doyle Court<br>Unit4 COL city VAL Ottawa COL prov VAL Ontario COL postal VAL K2M2G8 COL country VAL Canada
TN,1610,0,0,COL clean_supplier_name VAL VERITIV COL address VAL 1425 Derwent Way Vancouver British Columbia Canada COL city VAL  COL prov VAL  COL postal VAL  COL country VAL ,COL clean_supplier_name VAL ADRIAN CLARK COL address VAL 1875 Peters Road COL city VAL North Vancouver COL prov VAL British Columbia COL postal VAL V7J 1Y7 COL country VAL 
TN,603,0,0,COL clean_supplier_name VAL SOFT COMPUTER COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL MESSA COMPUTING COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
